active,confirmed,country,deaths,id,last_update,latitude,longitude,recovered
0,164610,US,3170,18,2020-03-31 10:28:12,40.0,-100.0,5945
75528,101739,Italy,11591,11,2020-03-31 10:27:59,41.8719,12.5674,14620
66969,94417,Spain,8189,156,2020-03-31 10:27:59,40.463667,-3.74922,19259
2760,82272,China,3309,4,2020-03-31 09:10:05,30.5928,114.3055,76203
52901,67051,Germany,650,8,2020-03-31 10:27:59,51.1657,10.4515,13500
34177,45171,France,3030,7,2020-03-31 10:27:59,46.2276,2.2137,7964
27051,44605,Iran,2898,89,2020-03-31 10:27:59,32.427908,53.688046,14656
20882,22465,United Kingdom,1412,17,2020-03-31 10:27:59,55.0,-3.0,171
13740,15922,Switzerland,359,16,2020-03-31 10:27:59,46.8182,8.2275,1823
10372,12775,Belgium,705,33,2020-03-31 10:27:59,50.8333,4.469936,1698
10699,11817,Netherlands,865,12,2020-03-31 10:27:59,52.3167,5.55,253
10497,10827,Turkey,168,168,2020-03-31 10:27:59,38.9637,35.2433,162
8628,9851,Austria,128,2,2020-03-31 10:27:59,47.5162,14.5501,1095
4216,9786,"Korea, South",162,97,2020-03-31 10:27:59,35.907757,127.766922,5408
0,7448,Canada,89,3,2020-03-31 10:33:36,60.001,-95.001,1020
6225,6408,Portugal,140,139,2020-03-31 10:27:59,39.3999,-8.2245,43
4651,4831,Israel,17,91,2020-03-31 10:27:59,31.046051,34.851612,163
4369,4661,Brazil,165,40,2020-03-31 10:27:59,-14.235,-51.9253,127
4174,4550,Australia,18,1,2020-03-31 10:33:51,-25.0,133.0,358
4448,4494,Norway,34,13,2020-03-31 10:27:59,60.472,8.4689,12
3866,4028,Sweden,146,15,2020-03-31 10:27:59,60.1282,18.6435,16
2953,3002,Czechia,24,59,2020-03-31 10:27:59,49.8175,15.473,25
2840,2994,Denmark,77,5,2020-03-31 10:27:59,56.0,10.0,77
2851,2910,Ireland,54,10,2020-03-31 10:27:59,53.1424,-7.6921,5
2186,2766,Malaysia,43,111,2020-03-31 10:27:59,4.210484,101.975766,537
2285,2449,Chile,8,50,2020-03-31 10:27:59,-35.6751,-71.543,156
2199,2337,Russia,17,14,2020-03-31 10:27:59,61.524,105.3188,121
1956,2245,Romania,69,141,2020-03-31 10:27:59,45.9432,24.9668,220
2094,2132,Poland,31,138,2020-03-31 10:27:59,51.9194,19.1451,7
1947,2084,Philippines,88,137,2020-03-31 10:27:59,12.879721,121.774017,49
1886,1988,Luxembourg,22,108,2020-03-31 10:27:59,49.8153,6.1296,80
1850,1966,Ecuador,62,64,2020-03-31 10:27:59,-1.8312,-78.1834,54
1473,1953,Japan,56,93,2020-03-31 10:27:59,36.204824,138.252924,424
1764,1865,Pakistan,25,132,2020-03-31 10:27:59,30.3753,69.3451,76
1299,1651,Thailand,10,163,2020-03-31 10:27:59,15.870032,100.992541,342
1311,1528,Indonesia,136,88,2020-03-31 10:27:59,-0.7893,113.9213,81
1330,1453,Saudi Arabia,8,147,2020-03-31 10:27:59,23.885942,45.079162,115
1395,1418,Finland,13,6,2020-03-31 10:27:59,61.9241,25.7482,10
1292,1326,South Africa,3,155,2020-03-31 10:27:59,-30.5595,22.9375,31
1117,1251,India,32,87,2020-03-31 10:27:59,20.593684,78.96288,102
1114,1212,Greece,46,77,2020-03-31 10:27:59,39.0742,21.8243,52
1031,1094,Mexico,28,117,2020-03-31 10:27:59,23.6345,-102.5528,35
927,1086,Iceland,2,9,2020-03-31 10:27:59,64.9631,-19.0208,157
1039,1075,Panama,27,133,2020-03-31 10:27:59,8.538,-80.7821,9
714,966,Argentina,24,25,2020-03-31 10:27:59,-38.4161,-63.6167,228
873,950,Peru,24,136,2020-03-31 10:27:59,-9.19,-75.0152,53
855,901,Dominican Republic,42,63,2020-03-31 10:27:59,18.7357,-70.1627,4
648,879,Singapore,3,151,2020-03-31 10:27:59,1.2833,103.8333,228
777,802,Slovenia,15,153,2020-03-31 10:27:59,46.1512,14.9955,10
769,798,Colombia,14,51,2020-03-31 10:27:59,4.5709,-74.2973,15
717,790,Croatia,6,56,2020-03-31 10:27:59,45.1,15.2,67
769,785,Serbia,16,149,2020-03-31 10:27:59,44.0165,21.0059,0
715,745,Estonia,4,69,2020-03-31 10:27:59,58.5953,25.0136,26
99,712,Diamond Princess,10,60,2020-03-31 10:27:59,0.0,0.0,603
641,693,Qatar,1,140,2020-03-31 10:27:59,25.3548,51.1839,51
465,656,Egypt,41,65,2020-03-31 10:27:59,26.820553,30.802498,150
572,647,New Zealand,1,126,2020-03-31 10:27:59,-40.9006,174.886,74
432,630,Iraq,46,90,2020-03-31 10:27:59,33.223191,43.679291,152
545,611,United Arab Emirates,5,171,2020-03-31 10:27:59,23.424076,53.847818,61
512,584,Algeria,35,21,2020-03-31 10:27:59,28.0339,1.6596,37
526,574,Morocco,33,122,2020-03-31 10:27:59,31.7917,-7.0926,15
528,549,Ukraine,13,170,2020-03-31 10:27:59,48.3794,31.1656,8
519,533,Lithuania,7,107,2020-03-31 10:27:59,55.1694,23.8813,7
499,532,Armenia,3,26,2020-03-31 10:27:59,40.0691,45.0382,30
216,515,Bahrain,4,29,2020-03-31 10:27:59,26.0275,50.55,295
439,492,Hungary,16,86,2020-03-31 10:27:59,47.1625,19.5033,37
416,463,Lebanon,12,103,2020-03-31 10:27:59,33.8547,35.8623,35
384,411,Bosnia and Herzegovina,10,38,2020-03-31 10:27:59,43.9159,17.6791,17
397,398,Latvia,0,102,2020-03-31 10:27:59,56.8796,24.6032,1
354,379,Bulgaria,8,42,2020-03-31 10:27:59,42.7339,25.4858,17
352,370,Andorra,8,22,2020-03-31 10:27:59,42.5063,1.5218,10
356,363,Slovakia,0,152,2020-03-31 10:27:59,48.669,19.699,7
350,362,Tunisia,9,167,2020-03-31 10:27:59,33.886917,9.537499,3
312,336,Kazakhstan,2,95,2020-03-31 10:27:59,48.0196,66.9237,22
324,330,Costa Rica,2,54,2020-03-31 10:27:59,9.7489,-83.7534,4
278,322,Taiwan*,5,161,2020-03-31 07:26:59,23.7,121.0,39
294,320,Uruguay,1,172,2020-03-31 10:27:59,-32.5228,-55.7658,25
278,298,Moldova,2,118,2020-03-31 10:27:59,47.4116,28.3699,18
216,289,Kuwait,0,99,2020-03-31 10:27:59,29.31166,47.481766,73
266,285,North Macedonia,7,130,2020-03-31 10:27:59,41.6086,21.7453,12
243,273,Azerbaijan,4,27,2020-03-31 10:27:59,40.1431,47.5769,26
237,268,Jordan,5,94,2020-03-31 10:27:59,31.24,36.51,26
203,246,Burkina Faso,12,43,2020-03-31 10:27:59,12.2383,-1.5616,31
178,243,Albania,13,20,2020-03-31 10:27:59,41.1533,20.1683,52
201,230,Cyprus,7,58,2020-03-31 10:27:59,35.1264,33.4299,22
192,230,San Marino,25,146,2020-03-31 10:27:59,43.9424,12.4578,13
149,204,Vietnam,0,175,2020-03-31 10:27:59,14.058324,108.277199,55
182,193,Cameroon,6,47,2020-03-31 10:27:59,3.848,11.5021,5
158,192,Oman,0,131,2020-03-31 10:27:59,21.512583,55.923255,34
135,175,Senegal,0,148,2020-03-31 10:27:59,14.4974,-14.4524,40
165,174,Afghanistan,4,19,2020-03-31 10:27:59,33.93911,67.709953,5
162,170,Cuba,4,57,2020-03-31 10:27:59,21.521757,-77.781167,4
161,168,Cote d'Ivoire,1,55,2020-03-31 10:27:59,7.54,-5.5471,6
149,158,Uzbekistan,2,173,2020-03-31 10:27:59,41.377491,64.585262,7
154,156,Malta,0,114,2020-03-31 10:27:59,35.9375,14.3754,2
105,152,Belarus,0,32,2020-03-31 10:27:59,53.7098,27.9534,47
145,152,Ghana,5,76,2020-03-31 10:27:59,7.9465,-1.0232,2
140,143,Mauritius,3,116,2020-03-31 10:27:59,-20.348404,57.552152,0
131,141,Honduras,7,85,2020-03-31 10:27:59,15.2,-86.2419,3
93,135,Venezuela,3,174,2020-03-31 10:27:59,6.4238,-66.5897,39
121,131,Nigeria,2,129,2020-03-31 10:27:59,9.082,8.6753,8
83,129,Brunei,1,41,2020-03-31 10:27:59,4.5353,114.7277,45
111,129,Sri Lanka,2,157,2020-03-31 10:27:59,7.873054,80.771797,16
98,117,West Bank and Gaza,1,176,2020-03-31 10:27:59,31.9522,35.2332,18
89,110,Georgia,0,75,2020-03-31 10:27:59,42.3154,43.3569,21
86,109,Cambodia,0,46,2020-03-31 10:27:59,11.55,104.9167,23
101,107,Bolivia,6,37,2020-03-31 10:27:59,-16.2902,-63.5887,0
104,107,Kyrgyzstan,0,100,2020-03-31 10:27:59,41.20438,74.766098,3
104,106,Kosovo,1,98,2020-03-31 10:27:59,42.602636,20.902977,1
104,105,Montenegro,1,121,2020-03-31 10:27:59,42.708678,19.37439,0
88,98,Congo (Kinshasa),8,53,2020-03-31 10:27:59,-4.322447,15.307045,2
81,85,Trinidad and Tobago,3,166,2020-03-31 10:27:59,10.6918,-61.2225,1
70,70,Rwanda,0,142,2020-03-31 10:27:59,-1.9403,29.8739,0
61,65,Paraguay,3,135,2020-03-31 10:27:59,-23.4425,-58.4438,1
64,64,Liechtenstein,0,106,2020-03-31 10:27:59,47.14,9.55,0
21,51,Bangladesh,5,30,2020-03-31 10:27:59,23.685,90.3563,25
48,50,Kenya,1,96,2020-03-31 10:27:59,-0.0236,37.9062,1
47,49,Monaco,1,119,2020-03-31 10:27:59,43.7333,7.4167,1
46,46,Madagascar,0,110,2020-03-31 10:27:59,-18.766947,46.869107,0
25,36,Guatemala,1,79,2020-03-31 10:27:59,15.7835,-90.2308,10
33,36,Jamaica,1,92,2020-03-31 10:27:59,18.1096,-77.2975,2
35,35,Zambia,0,177,2020-03-31 10:27:59,-13.133897,27.849332,0
34,34,Barbados,0,31,2020-03-31 10:27:59,13.1939,-59.5432,0
33,33,Uganda,0,169,2020-03-31 10:27:59,1.373333,32.290275,0
32,32,El Salvador,0,66,2020-03-31 10:27:59,13.7942,-88.8965,0
28,30,Togo,1,165,2020-03-31 10:27:59,8.6195,0.8248,1
24,27,Niger,3,128,2020-03-31 10:27:59,17.607789,8.081666,0
21,25,Ethiopia,0,71,2020-03-31 10:27:59,9.145,40.4897,4
23,25,Mali,2,113,2020-03-31 10:27:59,17.570692,-3.996166,0
22,22,Guinea,0,80,2020-03-31 10:27:59,9.9456,-9.6966,0
19,19,Congo (Brazzaville),0,52,2020-03-31 10:27:59,-4.2634,15.2832,0
17,19,Tanzania,1,162,2020-03-31 10:27:59,-6.369028,34.888822,1
18,18,Djibouti,0,61,2020-03-31 10:27:59,11.8251,42.5903,0
5,18,Maldives,0,112,2020-03-31 10:27:59,3.2028,73.2207,13
15,16,Gabon,1,73,2020-03-31 10:27:59,-0.8037,11.6094,0
15,15,Eritrea,0,68,2020-03-31 10:27:59,15.1794,39.7823,0
14,15,Haiti,0,83,2020-03-31 10:27:59,18.9712,-72.2852,1
13,14,Bahamas,0,28,2020-03-31 10:27:59,25.025885,-78.035889,1
13,14,Burma,1,44,2020-03-31 10:27:59,21.9162,95.956,0
12,12,Dominica,0,62,2020-03-31 10:27:59,15.415,-61.371,0
12,12,Equatorial Guinea,0,67,2020-03-31 10:27:59,1.6508,10.2679,0
10,12,Mongolia,0,120,2020-03-31 10:27:59,46.8625,103.8467,2
9,11,Namibia,0,124,2020-03-31 10:27:59,-22.9576,18.4904,2
10,10,Seychelles,0,150,2020-03-31 10:27:59,-4.6796,55.492,0
8,10,Syria,2,160,2020-03-31 10:27:59,34.802075,38.996815,0
9,9,Eswatini,0,70,2020-03-31 10:27:59,-26.5225,31.4659,0
9,9,Grenada,0,78,2020-03-31 10:27:59,12.1165,-61.679,0
9,9,Laos,0,101,2020-03-31 10:27:59,19.85627,102.495496,0
8,9,Saint Lucia,0,144,2020-03-31 10:27:59,13.9094,-60.9789,1
8,8,Guinea-Bissau,0,81,2020-03-31 10:27:59,11.8037,-15.1804,0
7,8,Guyana,1,82,2020-03-31 10:27:59,4.860416,-58.93018,0
8,8,Libya,0,105,2020-03-31 10:27:59,26.3351,17.228331,0
8,8,Mozambique,0,123,2020-03-31 10:27:59,-18.665695,35.529562,0
8,8,Suriname,0,159,2020-03-31 10:27:59,3.9193,-56.0278,0
7,8,Zimbabwe,1,178,2020-03-31 10:27:59,-19.015438,29.154857,0
4,7,Angola,2,23,2020-03-31 10:27:59,-11.2027,17.8739,1
7,7,Antigua and Barbuda,0,24,2020-03-31 10:27:59,17.0608,-61.7964,0
7,7,Chad,0,49,2020-03-31 10:27:59,15.4542,18.7322,0
7,7,Saint Kitts and Nevis,0,143,2020-03-31 10:27:59,17.357822,-62.782998,0
5,7,Sudan,2,158,2020-03-31 10:27:59,12.8628,30.2176,0
5,6,Benin,0,35,2020-03-31 10:27:59,9.3077,2.3158,1
5,6,Cabo Verde,1,45,2020-03-31 10:27:59,16.5388,-23.0418,0
6,6,Holy See,0,84,2020-03-31 10:27:59,41.9029,12.4534,0
3,6,Mauritania,1,115,2020-03-31 10:27:59,21.0079,-10.9408,2
5,5,Fiji,0,72,2020-03-31 10:27:59,-17.7134,178.065,0
4,5,Nepal,0,125,2020-03-31 10:27:59,28.1667,84.25,1
4,4,Bhutan,0,36,2020-03-31 10:27:59,27.5142,90.4336,0
3,4,Gambia,1,74,2020-03-31 10:27:59,13.4432,-15.3101,0
3,4,Nicaragua,1,127,2020-03-31 10:27:59,12.865416,-85.207229,0
3,3,Belize,0,34,2020-03-31 10:27:59,17.1899,-88.4976,0
3,3,Botswana,0,39,2020-03-31 10:27:59,-22.3285,24.6849,0
3,3,Central African Republic,0,48,2020-03-31 10:27:59,6.6111,20.9394,0
3,3,Liberia,0,104,2020-03-31 10:27:59,6.428055,-9.429499,0
2,3,Somalia,0,154,2020-03-31 10:27:59,5.152149,46.199616,1
2,2,MS Zaandam,0,109,2020-03-31 10:27:59,0.0,0.0,0
1,1,Papua New Guinea,0,134,2020-03-31 10:27:59,-6.314993,143.95555,0
0,1,Saint Vincent and the Grenadines,0,145,2020-03-31 10:27:59,12.9843,-61.2872,1
1,1,Timor-Leste,0,164,2020-03-31 10:27:59,-8.874217,125.727539,0
